,name_0,name_1,name_2,symbol_0,symbol_1,symbol_2,region_0,region_1,region_2,currencies_0,currencies_1,currencies_2
Compagnie de Saint-Gobain S.A.,Compagnie de Saint-Gobain S.A.,Compagnie de Saint-Gobain S.A.,Saint Jean Carbon Inc.,CODYY,CODGF,TORVF,United States,United States,United States,USD,USD,USD
SAP SE,SAP SE,Sapiens International Corporation N.V.,ClearBridge Appreciation Fund Class I,SAP,SPNS,SAPYX,United States,United States,United States,USD,USD,USD
Royal Dutch Shell plc,Royal Dutch Shell plc,Royal Dutch Shell plc,"Shell Midstream Partners, L.P.",RDS-B,RDS-A,SHLX,United States,United States,United States,USD,USD,USD
Siemens Aktiengesellschaft,Siemens Aktiengesellschaft,Siemens Healthineers AG,"Siemens Gamesa Renewable Energy, S.A.",SIEGY,SMMNY,GCTAF,United States,United States,United States,USD,USD,USD
Starbucks Corporation,Starbucks Corporation,Starbucks Corporation,Starbucks Corporation,SBUX,SBUX.MEX,SBUB34.SAO,United States,Mexico,Brazil/Sao Paolo,USD,MXP,BRL
Takeda Pharmaceutical Company Limited,Takeda Pharmaceutical Company Limited,Take-Two Interactive Software Inc.,Takeda Pharmaceutical Company Limited,TAK,TTWO,TKPHF,United States,United States,United States,USD,USD,USD
Target Corporation,Target Corporation,Vanguard Target Retirement 2025 Fund Investor Shares,Vanguard Target Retirement 2020 Fund Investor Shares,TGT,VTTVX,VTWNX,United States,United States,United States,USD,USD,USD
Tesla Inc.,Tesla Inc.,Tesla Exploration Ltd.,Tesla Inc.,TSLA,TXLZF,TL0.FRK,United States,United States,Frankfurt,USD,USD,EUR
Texas Instruments Incorporated,Texas Instruments Incorporated,Texas Roadhouse Inc.,Texas Pacific Land Trust,TXN,TXRH,TPL,United States,United States,United States,USD,USD,USD
Keros Therapeutics Inc.,Keros Therapeutics Inc.,Calliditas Therapeutics AB (publ),Repare Therapeutics Inc.,KROS,CALT,RPTX,United States,United States,United States,USD,USD,USD
"TOTAL S.A.  EO 2,50","TOTAL S.A.  EO 2,50",Vanguard Total Stock Market Index Fund ETF Shares,TOTAL S.A.,TOTB.HAM,VTI,TOT,Hamburg,United States,United States,EUR,USD,USD
Toyota Motor Corporation,Toyota Motor Corporation,Toyota Motor Corporation,Toyota Industries Corporation,TM,TOYOF,TYIDF,United States,United States,United States,USD,USD,USD
TUI AG,TUI AG,TUI AG,Toews Unconstrained Income Fund,TUIFY,TUIFF,TUIFX,United States,United States,United States,USD,USD,USD
Uber Technologies Inc.,Uber Technologies Inc.,Uber Technologies Inc.,"UBER TECH.  DL-,00001",UBER,UBER.MEX,UT8.DEX,United States,Mexico,XETRA,USD,MXP,EUR
The Unilever Group,The Unilever Group,The Unilever Group,The Unilever Group,UL,UN,UNLVF,United States,United States,United States,USD,USD,USD
UNITED Inc.,UNITED Inc.,United Airlines Holdings Inc.,"United States Oil Fund, LP",2497.TOK,UAL,USO,Tokyo,United States,United States,JPY,USD,USD
United Parcel Service Inc.,United Parcel Service Inc.,FlexShares Morningstar Global Upstream Natural Resources Index Fund,United Parcel Service Inc.,UPS,GUNR,UPSS34.SAO,United States,United States,Brazil/Sao Paolo,USD,USD,BRL
Veolia Environnement S.A.,Veolia Environnement S.A.,Veolia Environnement S.A.,Veolia Environnement S.A.,VEOEY,VEOEF,VIE.PAR,United States,United States,Paris,USD,USD,EUR
VINCI SA,VINCI SA,VINCI SA,VINCI SA,VCISY,VCISF,DG.PAR,United States,United States,Paris,USD,USD,EUR
Virgin Galactic Holdings Inc.,Virgin Galactic Holdings Inc.,Penn Virginia Corporation,Southern National Bancorp of Virginia Inc.,SPCE,PVAC,SONA,United States,United States,United States,USD,USD,USD
Volkswagen AG,Volkswagen AG,Volkswagen AG,Volkswagen AG,VWAGY,VLKAF,VWAPY,United States,United States,United States,USD,USD,USD
Vonovia SE,Vonovia SE,Vonovia SE,Vonovia SE,VNNVF,VONOY,VNA.DEX,United States,United States,XETRA,USD,USD,EUR
Walmart Inc.,Walmart Inc.,Walmart Inc.,Walmart Inc.,WMT,WALM34.SAO,WMT.MEX,United States,Brazil/Sao Paolo,Mexico,USD,BRL,MXP
The Walt Disney Company,The Walt Disney Company,DISNEY (WALT) CO.,The Walt Disney Company,DIS,DIS.D,DISB34.SAO,United States,Dusseldorf,Brazil/Sao Paolo,USD,EUR,BRL
Wirecard AG Inhaber-Aktien o.N.,Wirecard AG Inhaber-Aktien o.N.,Wirecard AG,Wirecard AG,WDI.STG,WCAGY,WRCDF,Stuttgart,United States,United States,EUR,USD,USD
Xylem Inc.,Xylem Inc.,Xylem Inc. Registered Shares DL,"XYLEM INC.  DL-,01",XYL,XY6.STG,XY6.DEX,United States,Stuttgart,XETRA,USD,EUR,EUR
Zalando SE,Zalando SE,Zalando SE,Zalando SE,ZLNDY,ZLDSF,ZAL.DEX,United States,United States,XETRA,USD,USD,EUR
Zebra Technologies Corporation,Zebra Technologies Corporation,American Beacon Zebra Small Cap Equity Fund Investor Class,American Beacon Zebra Small Cap Equity Fund R5 Class,ZBRA,AZSPX,AZSIX,United States,United States,United States,USD,USD,USD
